Horse,Date,Track,Distance,Finish_Pos,Barrier,Weight,Margin,SP,Condition
Ardior,05-Sep-25,Nagoya,1400m,8/12,,57.0,6.0,991.0,
Ardior,24-Jul-25,Nagoya,1500m,2/12,,57.0,1.5,193.0,
Ardior,10-Jul-25,Nagoya,1500m,2/12,,57.0,3.0,193.0,
Ardior,17-Jun-25,Nagoya,1400m,2/12,,57.0,0.75,193.0,
Ardior,05-Jun-25,Nagoya,1400m,5/11,,57.0,0.15,55.0,
Ardior,22-May-25,Nagoya,920m,4/12,,53.0,2.0,83.0,
Ardior,08-May-25,Nagoya,1400m,6/11,,55.0,4.0,991.0,
Ardior,15-Apr-25,Ohi,1200m,12/14,,53.0,3.5,1.0,
Ardior,27-Mar-25,Ohi,1800m,9/11,,54.0,1.5,1.0,
Ardior,11-Mar-25,Ohi,1600m,9/14,,54.0,2.2,1.0,
Ardior,19-Feb-25,Ohi,1200m,8/16,,56.0,0.6,1.0,
Ardior,27-Jan-25,Ohi,1200m,3/14,,54.0,3.75,200.0,
Ardior,13-Jan-25,Ohi,1600m,9/12,,54.0,2.5,1.0,
Ardior,24-Dec-24,Nagoya,1500m,7/10,,54.0,5.0,1.0,
Ardior,21-Nov-24,Nagoya,1500m,1/12,,54.0,0.4,500.0,
Ardior,12-Nov-24,Nagoya,1500m,5/12,,56.0,4.0,50.0,
Ardior,30-Oct-24,Nagoya,1500m,4/12,,53.0,2.3,75.0,
Ardior,17-Oct-24,Nagoya,1500m,6/11,,54.0,0.6,499.0,
Ardior,06-Aug-24,Nagoya,1500m,5/12,,55.0,0.2,50.0,
Ardior,26-Jul-24,Nagoya,1500m,1/12,,54.0,10.0,500.0,
Ardior,23-Jun-24,Tokyo,2400m,10/17,,55.0,2.5,6.0,
Ardior,09-Jun-24,Tokyo,2400m,14/15,,57.0,0.5,10.0,
Ardior,19-May-24,Tokyo,1300m,12/16,,57.0,1.5,10.0,
Ardior,25-Feb-24,Nakayama,1800m,15/16,,56.0,2.0,10.0,
Ardior,20-Jan-24,Nakayama,1800m,8/16,,57.0,2.0,10.0,
Ardior,24-Dec-23,Nakayama,1800m,12/16,,54.0,1.0,10.0,
Ardior,08-Oct-23,Tokyo,1600m,13/15,,56.0,0.3,13.0,
Skill Hunter,26-Mar-26,Nagoya,1501m,7/11,,57.0,0.3,6.0,
Skill Hunter,10-Mar-26,Nagoya,920m,11/11,,57.0,0.2,1.0,
Skill Hunter,25-Feb-26,Nagoya,1400m,5/10,,55.0,0.5,100.0,
Skill Hunter,12-Feb-26,Nagoya,1700m,10/12,,55.0,2.5,1.0,
Skill Hunter,16-Jan-26,Nagoya,2001m,5/9,,57.0,0.3,65.0,
Skill Hunter,24-Dec-25,Nagoya,1501m,1/11,,55.0,3.0,600.0,
Skill Hunter,10-Dec-25,Nagoya,1500m,2/12,,55.0,1.5,193.0,
Skill Hunter,17-Jun-25,Nagoya,1500m,4/12,,57.0,1.5,98.0,
Skill Hunter,23-May-25,Nagoya,1500m,2/12,,57.0,4.0,228.0,
Skill Hunter,09-May-25,Nagoya,1500m,2/11,,55.0,1.5,210.0,
Skill Hunter,25-Apr-25,Nagoya,1400m,6/12,,57.0,0.5,1.0,
Skill Hunter,11-Apr-25,Nagoya,920m,4/12,,57.0,1.5,128.0,
Skill Hunter,31-Mar-25,Nagoya,1500m,2/9,,55.0,0.0,175.0,
Skill Hunter,28-Feb-25,Nagoya,1400m,3/10,,54.0,0.0,100.0,
Skill Hunter,14-Feb-25,Nagoya,1400m,2/10,,54.0,2.5,175.0,
Skill Hunter,30-Jan-25,Nagoya,1500m,3/10,,56.0,1.5,100.0,
Skill Hunter,24-Jul-24,Nagoya,1500m,6/12,,56.0,0.3,547.0,
Skill Hunter,26-Jun-24,Nagoya,1500m,1/12,,53.0,6.0,612.0,
Skill Hunter,12-Jun-24,Nagoya,1500m,4/11,,56.0,0.3,68.0,
Skill Hunter,04-May-24,Kyoto,2200m,16/16,,56.0,4.0,6.0,
Skill Hunter,02-Mar-24,Kokura,1700m,16/16,,57.0,0.3,10.0,
Skill Hunter,23-Dec-23,Hanshin,1800m,13/14,,57.0,1.5,7.0,
Skill Hunter,03-Dec-23,Hanshin,1600m,2/9,,56.0,0.3,2.0,
Grass Cheer,27-Mar-26,Nagoya,1400m,6/9,,53.0,0.5,9.0,
Grass Cheer,02-Mar-26,Nagoya,1400m,4/10,,53.0,4.0,128.0,
Grass Cheer,13-Feb-26,Nagoya,1400m,2/11,,55.0,2.0,193.0,
Grass Cheer,30-Jan-26,Nagoya,1400m,3/11,,55.0,1.0,110.0,
Grass Cheer,19-Jan-26,Nagoya,1501m,2/11,,57.0,1.5,193.0,
Grass Cheer,04-Jan-26,Nagoya,1501m,1/12,,55.0,1.5,550.0,
Grass Cheer,22-Dec-25,Nagoya,1501m,5/12,,51.0,2.5,55.0,
Grass Cheer,09-Dec-25,Nagoya,1500m,3/12,,53.0,0.3,110.0,
Grass Cheer,11-Nov-25,Nagoya,1500m,3/11,,57.0,5.0,110.0,
Grass Cheer,30-Oct-25,Nagoya,1500m,6/12,,55.0,4.0,991.0,
Grass Cheer,16-Oct-25,Nagoya,1400m,9/12,,55.0,3.0,991.0,
Grass Cheer,30-Sep-25,Nagoya,1500m,11/12,,55.0,2.0,991.0,
Grass Cheer,16-Sep-25,Nagoya,1500m,8/12,,55.0,0.75,991.0,
Grass Cheer,02-Sep-25,Nagoya,1400m,9/12,,57.0,1.5,991.0,
Grass Cheer,19-Aug-25,Nagoya,1500m,11/11,,55.0,0.3,991.0,
Grass Cheer,18-Jul-25,Nagoya,1500m,10/10,,53.0,0.0,991.0,
Grass Cheer,07-Jul-25,Nagoya,1400m,2/12,,53.0,7.0,193.0,
Grass Cheer,24-Jun-25,Nagoya,1500m,8/12,,55.0,6.0,991.0,
Grass Cheer,13-Jun-25,Nagoya,1500m,10/12,,55.0,3.0,991.0,
Grass Cheer,03-Jun-25,Nagoya,1500m,11/12,,55.0,4.0,991.0,
Grass Cheer,20-May-25,Nagoya,1500m,5/12,,55.0,3.5,55.0,
Grass Cheer,05-May-25,Nagoya,1400m,8/11,,57.0,2.0,991.0,
Grass Cheer,22-Apr-25,Nagoya,1500m,10/11,,53.0,3.5,991.0,
Grass Cheer,08-Apr-25,Nagoya,1500m,2/12,,55.0,2.25,193.0,
Grass Cheer,25-Mar-25,Nagoya,1500m,9/10,,53.0,3.0,900.0,
Grass Cheer,12-Mar-25,Nagoya,1500m,8/12,,56.0,6.2,900.0,
Grass Cheer,24-Feb-25,Nagoya,1500m,9/10,,56.0,4.5,900.0,
Grass Cheer,10-Feb-25,Nagoya,1500m,10/11,,54.0,5.1,900.0,
Grass Cheer,28-Jan-25,Nagoya,1400m,8/10,,56.0,3.0,900.0,
Grass Cheer,14-Jan-25,Nagoya,1500m,5/12,,52.0,4.0,50.0,
Grass Cheer,01-Jan-25,Nagoya,1500m,3/10,,54.0,2.5,100.0,
Grass Cheer,18-Dec-24,Nagoya,1500m,8/11,,56.0,3.0,900.0,
Grass Cheer,03-Dec-24,Nagoya,1500m,8/11,,56.0,2.0,900.0,
Grass Cheer,20-Nov-24,Nagoya,1400m,5/12,,56.0,4.0,50.0,
Grass Cheer,12-Nov-24,Nagoya,1500m,11/12,,52.0,1.75,900.0,
Grass Cheer,16-Oct-24,Nagoya,1500m,6/12,,56.0,3.0,499.0,
Grass Cheer,02-Oct-24,Nagoya,920m,4/12,,55.0,5.0,75.0,
Grass Cheer,18-Sep-24,Nagoya,1500m,12/12,,54.0,1.5,499.0,
Grass Cheer,05-Sep-24,Nagoya,1500m,7/12,,56.0,3.0,499.0,
Grass Cheer,07-Aug-24,Kawasaki,1400m,9/11,,52.0,0.3,2.0,
Grass Cheer,30-Jun-24,Fukushima,1150m,11/16,,54.0,15.0,6.0,
Grass Cheer,28-Apr-24,Tokyo,1400m,15/18,,55.0,30.0,10.0,
Grass Cheer,17-Mar-24,Chukyo,2000m,10/18,,57.0,0.3,10.0,
Grass Cheer,24-Feb-24,Kokura,1200m,6/18,,53.0,2.0,10.0,
Grass Cheer,24-Dec-23,Nakayama,1200m,14/16,,57.0,0.3,10.0,
Grass Cheer,02-Dec-23,Nakayama,1200m,5/15,,54.0,0.75,13.0,
Amiens,25-Mar-26,Nagoya,1700m,11/12,,57.0,2.0,11.0,
Amiens,11-Mar-26,Nagoya,1501m,8/11,,57.0,2.5,1.0,
Amiens,26-Feb-26,Nagoya,1700m,10/11,,55.0,1.0,1.0,
Amiens,11-Feb-26,Nagoya,1501m,9/10,,55.0,0.3,1.0,
Amiens,28-Jan-26,Nagoya,1501m,11/11,,57.0,4.0,1.0,
Amiens,03-Jan-26,Nagoya,1400m,8/11,,57.0,0.3,1.0,
Amiens,18-Dec-25,Nagoya,1700m,11/12,,53.0,3.0,1.0,
Amiens,16-Nov-25,Fukushima,2000m,16/16,,55.0,50.0,15.0,
Amiens,21-Jul-25,Nagoya,1700m,1/12,,56.0,0.75,650.0,
Amiens,09-Jul-25,Nagoya,1400m,1/11,,57.0,1.5,650.0,
Amiens,26-Jun-25,Nagoya,1500m,3/12,,55.0,1.0,130.0,
Amiens,18-Jun-25,Nagoya,920m,3/11,,57.0,5.0,130.0,
Amiens,06-Jun-25,Nagoya,1500m,1/12,,55.0,2.5,550.0,
Amiens,23-May-25,Nagoya,1500m,6/12,,55.0,1.5,1.0,
Amiens,09-May-25,Nagoya,1400m,2/10,,57.0,0.3,193.0,
Amiens,25-Apr-25,Nagoya,1500m,5/11,,55.0,4.0,55.0,
Amiens,11-Apr-25,Nagoya,1500m,6/12,,55.0,1.8,991.0,
Amiens,31-Mar-25,Nagoya,1500m,3/9,,55.0,2.5,100.0,
Amiens,14-Mar-25,Nagoya,1500m,2/12,,56.0,0.5,175.0,
Amiens,27-Feb-25,Nagoya,1500m,4/11,,54.0,1.5,75.0,
Amiens,14-Feb-25,Nagoya,1500m,2/11,,56.0,2.25,189.0,
Amiens,28-Jan-25,Nagoya,1500m,1/11,,54.0,1.0,500.0,
Amiens,15-Jan-25,Nagoya,920m,2/11,,54.0,1.5,175.0,
Amiens,02-Jan-25,Nagoya,1500m,5/11,,54.0,3.0,50.0,
Amiens,19-Dec-24,Nagoya,1400m,5/10,,56.0,4.5,50.0,
Amiens,06-Nov-24,Mombetsu,1200m,8/11,,54.0,2.5,680.0,
Amiens,22-Oct-24,Mombetsu,1200m,10/12,,54.0,1.0,400.0,
Amiens,08-Oct-24,Mombetsu,1200m,6/11,,54.0,0.3,400.0,
Amiens,26-Sep-24,Mombetsu,1700m,8/11,,54.0,0.5,549.0,
Amiens,11-Aug-24,Sapporo,1700m,10/14,,55.0,5.0,5.0,
Amiens,06-Jul-24,Hakodate,2000m,10/16,,55.0,0.0,6.0,
Amiens,15-Jun-24,Hakodate,1800m,7/16,,55.0,0.75,6.0,
Amiens,20-Apr-24,Tokyo,2000m,3/18,,55.0,2.5,6.0,
Amiens,04-Feb-24,Tokyo,1800m,8/16,,55.0,1.25,11.0,
High Good Ace,26-Mar-26,Nagoya,1501m,5/11,,57.0,1.5,100.0,
High Good Ace,12-Mar-26,Nagoya,1400m,4/10,,55.0,5.0,98.0,
High Good Ace,23-Feb-26,Nagoya,1501m,5/11,,57.0,0.5,65.0,
High Good Ace,13-Feb-26,Nagoya,1700m,8/11,,55.0,2.0,1.0,
High Good Ace,30-Jan-26,Nagoya,1700m,9/12,,55.0,2.0,1.0,
High Good Ace,16-Jan-26,Nagoya,1501m,8/12,,55.0,0.0,1.0,
High Good Ace,05-Jan-26,Nagoya,1700m,7/11,,57.0,1.5,1.0,
High Good Ace,22-Dec-25,Nagoya,1501m,5/12,,55.0,0.0,65.0,
High Good Ace,09-Dec-25,Nagoya,1500m,4/12,,57.0,0.5,98.0,
High Good Ace,25-Nov-25,Nagoya,1700m,4/12,,57.0,2.5,98.0,
High Good Ace,12-Nov-25,Nagoya,1500m,10/12,,55.0,2.5,1.0,
High Good Ace,30-Oct-25,Nagoya,1400m,5/12,,57.0,0.0,65.0,
High Good Ace,02-Oct-25,Nagoya,1400m,9/12,,55.0,0.75,1.0,
High Good Ace,19-Sep-25,Nagoya,1500m,1/12,,55.0,1.5,550.0,
High Good Ace,11-Jul-25,Nagoya,1400m,10/12,,57.0,0.75,991.0,
High Good Ace,27-Jun-25,Nagoya,1400m,7/11,,55.0,1.5,1.0,
High Good Ace,18-Jun-25,Nagoya,920m,8/11,,57.0,0.5,1.0,
High Good Ace,05-Jun-25,Nagoya,1700m,11/12,,55.0,2.0,1.0,
High Good Ace,23-May-25,Nagoya,1500m,6/12,,57.0,0.75,1.0,
High Good Ace,09-May-25,Nagoya,1700m,4/11,,57.0,0.5,98.0,
High Good Ace,25-Apr-25,Nagoya,1700m,3/9,,57.0,0.75,130.0,
High Good Ace,11-Apr-25,Nagoya,1500m,8/11,,57.0,0.5,1.0,
High Good Ace,27-Mar-25,Nagoya,1700m,6/11,,57.0,1.5,1.0,
High Good Ace,13-Mar-25,Nagoya,1500m,10/11,,56.0,1.8,1.0,
High Good Ace,11-Feb-25,Nagoya,1500m,11/11,,56.0,3.0,1.0,
High Good Ace,28-Jan-25,Nagoya,1700m,10/10,,56.0,8.0,1.0,
High Good Ace,01-Jan-25,Nagoya,1500m,9/11,,56.0,1.0,1.0,
High Good Ace,20-Dec-24,Nagoya,1700m,9/11,,56.0,4.0,1.0,
High Good Ace,04-Dec-24,Nagoya,1700m,8/11,,55.0,1.8,1.0,
High Good Ace,22-Nov-24,Nagoya,1700m,8/12,,54.0,1.05,1.0,
High Good Ace,12-Nov-24,Nagoya,1500m,10/12,,53.0,3.1,1.0,
High Good Ace,31-Oct-24,Nagoya,1500m,9/12,,56.0,0.5,1.0,
High Good Ace,18-Oct-24,Nagoya,1700m,8/12,,54.0,2.25,1.0,
High Good Ace,03-Oct-24,Nagoya,2000m,6/10,,54.0,0.5,1.0,
High Good Ace,18-Sep-24,Nagoya,1500m,1/12,,54.0,5.0,1.0,
High Good Ace,03-Sep-24,Nagoya,1400m,8/10,,56.0,1.5,750.0,
High Good Ace,20-Aug-24,Nagoya,1500m,6/12,,56.0,0.2,750.0,
High Good Ace,07-Aug-24,Nagoya,1400m,2/11,,54.0,0.3,210.0,
High Good Ace,24-Jul-24,Nagoya,1500m,3/12,,56.0,1.0,119.0,
High Good Ace,11-Jul-24,Nagoya,1700m,3/12,,56.0,2.0,107.0,
High Good Ace,02-Jul-24,Kasamatsu,1400m,6/10,,56.0,2.5,481.0,
High Good Ace,12-Jun-24,Nagoya,2000m,4/12,,53.0,1.5,113.0,
High Good Ace,30-May-24,Nagoya,1500m,1/11,,56.0,1.5,680.0,
High Good Ace,20-May-24,Nagoya,1500m,6/11,,56.0,1.5,1.0,
High Good Ace,20-Apr-24,Saga,1300m,4/10,,56.0,2.5,47.0,
High Good Ace,31-Mar-24,Saga,1400m,2/12,,54.0,1.5,119.0,
High Good Ace,10-Mar-24,Saga,1300m,6/11,,56.0,0.75,595.0,
High Good Ace,22-Feb-24,Saga,1800m,7/11,,54.0,1.5,764.0,
High Good Ace,11-Feb-24,Saga,1300m,4/10,,54.0,2.5,41.0,
High Good Ace,25-Jan-24,Saga,1750m,5/10,,56.0,30.0,765.0,
High Good Ace,17-Dec-23,Hanshin,1800m,9/9,,54.0,5.0,10.0,
High Good Ace,18-Sep-23,Hanshin,2400m,11/14,,57.0,1.0,21.0,
High Good Ace,03-Sep-23,Kokura,2600m,11/12,,56.0,3.25,15.0,
High Good Ace,29-Apr-23,Kyoto,2200m,6/7,,55.0,9.0,15.0,
High Good Ace,15-Apr-23,Hanshin,2400m,6/6,,58.0,1.5,15.0,
High Good Ace,19-Mar-23,Chukyo,2000m,12/15,,55.0,4.5,15.0,
High Good Ace,13-Dec-22,Kasamatsu,1600m,2/7,,58.0,8.0,130.0,
High Good Ace,17-Nov-22,Kasamatsu,1400m,1/8,,56.0,6.0,308.0,
High Good Ace,04-Nov-22,Kasamatsu,1600m,2/9,,54.0,0.0,163.0,
High Good Ace,21-Oct-22,Kasamatsu,1400m,1/8,,56.0,0.0,308.0,
High Good Ace,07-Oct-22,Kasamatsu,1400m,2/12,,54.0,0.0,97.0,
High Good Ace,28-Aug-22,Kokura,2600m,7/16,,56.0,0.0,6.0,
High Good Ace,21-Aug-22,Kokura,1800m,7/10,,56.0,0.15,14.0,
High Good Ace,23-Jul-22,Kokura,2000m,5/18,,54.0,0.0,10.0,
High Good Ace,10-Jul-22,Kokura,2600m,4/16,,52.0,0.0,707.0,
High Good Ace,18-Jun-22,Hanshin,2400m,3/13,,56.0,0.0,1.0,
High Good Ace,21-May-22,Chukyo,2000m,4/10,,56.0,0.0,707.0,
High Good Ace,12-Mar-22,Chukyo,2200m,9/14,,56.0,0.0,10.0,
High Good Ace,20-Feb-22,Kokura,1800m,7/16,,55.0,0.0,10.0,
High Good Ace,23-Jan-22,Kokura,2000m,7/14,,53.0,0.0,10.0,
High Good Ace,21-Nov-21,Hanshin,1800m,6/11,,56.0,0.0,10.0,
High Good Ace,07-Nov-21,Hanshin,1800m,8/13,,55.0,0.0,10.0,
High Good Ace,17-Oct-21,Hanshin,1600m,6/16,,55.0,0.0,15.0,
Satono Altair,13-Mar-26,Nagoya,1501m,2/10,,57.0,1.5,228.0,
Satono Altair,02-Mar-26,Nagoya,1501m,9/11,,57.0,1.5,1.0,
Satono Altair,13-Feb-26,Nagoya,1501m,4/11,,55.0,3.0,98.0,
Satono Altair,31-Aug-25,Niigata,1800m,4/15,,57.0,0.75,840.0,
Satono Altair,22-Jun-25,Tokyo,1600m,2/16,,57.0,2.5,2.0,
Satono Altair,08-Jun-25,Hanshin,1800m,5/15,,57.0,3.0,560.0,
Satono Altair,17-May-25,Niigata,2000m,12/16,,57.0,2.8,10.0,
Satono Altair,12-Apr-25,Fukushima,2000m,12/16,,57.0,5.0,10.0,
Satono Altair,29-Mar-25,Chukyo,2200m,4/18,,57.0,0.3,840.0,
Satono Altair,06-Jan-25,Nakayama,2000m,6/18,,57.0,0.0,10.0,
Satono Altair,15-Dec-24,Nakayama,2000m,4/18,,55.0,0.85,830.0,
Satono Altair,23-Nov-24,Tokyo,1600m,6/15,,56.0,2.8,13.0,
Huit Moulins,26-Mar-26,Nagoya,1501m,1/12,,57.0,0.3,550.0,
Huit Moulins,12-Mar-26,Nagoya,1400m,5/11,,57.0,0.3,55.0,
Huit Moulins,27-Feb-26,Nagoya,1400m,2/11,,57.0,2.0,193.0,
Huit Moulins,12-Feb-26,Nagoya,1400m,9/12,,57.0,2.0,991.0,
Huit Moulins,16-Jan-26,Nagoya,1400m,4/10,,55.0,0.2,83.0,
Huit Moulins,04-Jan-26,Nagoya,1700m,2/12,,57.0,1.5,193.0,
Huit Moulins,22-Dec-25,Nagoya,1501m,2/12,,57.0,3.0,193.0,
Huit Moulins,09-Dec-25,Nagoya,1500m,11/12,,57.0,1.0,991.0,
Huit Moulins,11-Nov-25,Nagoya,1700m,7/11,,55.0,2.5,1.0,
Huit Moulins,29-Oct-25,Nagoya,1500m,1/12,,55.0,0.3,550.0,
Huit Moulins,30-Sep-25,Nagoya,1400m,6/11,,55.0,0.0,991.0,
Huit Moulins,03-Sep-25,Nagoya,1500m,3/11,,55.0,1.5,110.0,
Huit Moulins,23-May-25,Nagoya,1500m,2/12,,55.0,0.75,203.0,
Huit Moulins,09-May-25,Nagoya,1500m,7/12,,55.0,0.15,1.0,
Huit Moulins,23-Apr-25,Nagoya,1500m,5/10,,57.0,5.0,58.0,
Huit Moulins,22-Mar-25,Hanshin,2000m,11/11,,57.0,0.0,10.0,
Huit Moulins,16-Feb-25,Tokyo,2100m,13/16,,57.0,30.0,10.0,
Huit Moulins,01-Feb-25,Kyoto,1900m,9/9,,57.0,3.0,10.0,
Huit Moulins,28-Jul-24,Niigata,1200m,9/9,,57.0,6.5,6.0,
Huit Moulins,07-Jul-24,Fukushima,1200m,11/11,,55.0,5.0,9.0,
Sahkulu,14-Jan-26,Ohi,1600m,1/13,,55.0,0.75,800.0,
Sahkulu,15-Sep-25,Ohi,1400m,1/11,,56.0,0.75,1.0,
Beautiful Bell,12-Mar-26,Ohi,1200m,2/13,,56.0,1.0,320.0,
Beautiful Bell,18-Feb-26,Ohi,1200m,1/13,,54.0,1.0,800.0,
Beautiful Bell,30-Jan-26,Ohi,1400m,2/12,,56.0,0.75,320.0,
Beautiful Bell,14-Jan-26,Ohi,1600m,7/13,,54.0,1.25,1.0,
Beautiful Bell,25-Dec-25,Ohi,1600m,6/14,,56.0,0.2,1.0,
Beautiful Bell,15-Sep-25,Ohi,1600m,6/9,,54.0,1.0,1.0,
Beautiful Bell,02-Sep-25,Ohi,1600m,8/11,,54.0,0.75,1.0,
Beautiful Bell,11-Aug-25,Ohi,1600m,8/14,,56.0,2.0,1.0,
Beautiful Bell,18-Jul-25,Ohi,1600m,1/12,,54.0,1.25,800.0,
Beautiful Bell,01-Jul-25,Ohi,1400m,8/14,,54.0,2.0,1.0,
Beautiful Bell,10-Jun-25,Ohi,1600m,5/11,,56.0,2.0,100.0,
Beautiful Bell,23-May-25,Ohi,1400m,1/11,,56.0,0.3,800.0,
Beautiful Bell,01-May-25,Ohi,1200m,12/14,,54.0,2.5,1.0,
Beautiful Bell,16-Apr-25,Ohi,1200m,10/14,,51.0,2.5,1.0,
Beautiful Bell,04-Dec-24,Ohi,1400m,8/10,,54.0,2.6,1.0,
Beautiful Bell,05-Nov-24,Ohi,1400m,4/13,,52.0,1.75,150.0,
Beautiful Bell,15-Oct-24,Ohi,1200m,6/14,,54.0,0.95,1.0,
Beautiful Bell,12-Aug-24,Ohi,1400m,2/12,,54.0,50.0,400.0,
Beautiful Bell,15-May-24,Ohi,1400m,8/14,,54.0,0.2,1.0,
Beautiful Bell,29-Dec-23,Ohi,1400m,12/15,,56.0,4.0,3.0,
Beautiful Bell,07-Dec-23,Ohi,1200m,10/15,,55.0,2.0,1.0,
Beautiful Bell,17-Nov-23,Ohi,1200m,9/15,,56.0,0.15,1.0,
Beautiful Bell,02-Nov-23,Ohi,1200m,6/13,,54.0,0.5,1.0,
Beautiful Bell,05-Oct-23,Ohi,1200m,4/15,,56.0,3.0,132.0,
Beautiful Bell,29-Jun-23,Ohi,1200m,3/14,,54.0,0.15,285.0,
Beautiful Bell,07-Jun-23,Ohi,1400m,3/9,,56.0,3.0,285.0,
Beautiful Bell,11-May-23,Ohi,1400m,8/14,,54.0,0.0,3.0,
Beautiful Bell,20-Apr-23,Ohi,1200m,8/14,,54.0,0.0,3.0,
Beautiful Bell,30-Mar-23,Ohi,1400m,9/14,,56.0,3.5,3.0,
Beautiful Bell,22-Feb-23,Ohi,1200m,5/15,,54.0,3.8,3.0,
Beautiful Bell,03-Nov-22,Ohi,1200m,1/8,,54.0,0.0,2.0,
Silfra,26-Mar-26,Ohi,1400m,2/13,,56.0,0.5,320.0,
Silfra,12-Mar-26,Ohi,1600m,10/13,,53.0,0.5,1.0,
Silfra,19-Feb-26,Ohi,1600m,7/14,,56.0,3.0,1.0,
Silfra,29-Jan-26,Ohi,1600m,7/14,,56.0,1.0,1.0,
Silfra,13-Jan-26,Ohi,1600m,2/13,,54.0,0.15,320.0,
Silfra,31-Dec-25,Ohi,1600m,9/12,,54.0,0.5,2.0,
Silfra,05-Dec-25,Ohi,1600m,9/13,,54.0,0.3,2.0,
Silfra,11-Nov-25,Ohi,1600m,3/10,,56.0,5.0,350.0,
Silfra,11-Oct-25,Kochi,1600m,9/11,,54.0,1.75,1.0,
Silfra,28-Sep-25,Kochi,1300m,8/9,,57.0,0.5,1.0,
Silfra,14-Sep-25,Kochi,1400m,11/12,,57.0,2.5,1.0,
Silfra,02-Aug-25,Kochi,1300m,10/12,,55.0,0.75,1.0,
Silfra,28-Jun-25,Hakodate,1700m,14/14,,55.0,0.75,10.0,
Silfra,21-Jun-25,Hakodate,1200m,16/16,,51.0,2.5,10.0,
Silfra,17-May-25,Tokyo,1400m,9/18,,55.0,0.3,10.0,
Silfra,15-Feb-25,Tokyo,1400m,11/16,,57.0,2.5,10.0,
Silfra,07-Dec-24,Nakayama,1800m,4/12,,57.0,1.0,1.0,
Sun Pinon,23-Mar-26,Ohi,1600m,4/12,,54.0,1.0,150.0,
Sun Pinon,09-Mar-26,Ohi,1400m,10/13,,54.0,0.3,1.0,
Sun Pinon,17-Feb-26,Ohi,1200m,1/15,,51.0,0.5,800.0,
Sun Pinon,22-Nov-25,Kyoto,1800m,16/16,,56.0,2.0,15.0,
Sun Pinon,11-Oct-25,Kyoto,1800m,7/12,,51.0,6.0,15.0,
Sun Pinon,06-Sep-25,Sapporo,1700m,12/14,,52.0,2.1,15.0,
Sun Pinon,29-May-25,Sonoda,1400m,1/11,,51.0,2.0,1.0,
Sun Pinon,20-Apr-25,Fukushima,1150m,8/16,,55.0,0.5,10.0,
Sun Pinon,09-Feb-25,Kokura,1700m,13/16,,54.0,3.0,10.0,
Sun Pinon,18-Jan-25,Chukyo,1400m,9/16,,55.0,0.3,11.0,
Pick And Roll,23-Mar-26,Ohi,1200m,7/13,,54.0,4.0,15.0,
Pick And Roll,09-Mar-26,Ohi,1400m,6/13,,55.0,0.5,1.0,
Pick And Roll,16-Feb-26,Ohi,1200m,8/14,,51.0,0.5,1.0,
Pick And Roll,29-Jan-26,Ohi,1400m,3/12,,54.0,1.0,200.0,
Pick And Roll,16-Jan-26,Ohi,1200m,12/16,,51.0,0.3,1.0,
Pick And Roll,25-Dec-25,Ohi,1400m,2/11,,54.0,3.0,400.0,
Pick And Roll,01-Dec-25,Ohi,1200m,3/15,,56.0,2.0,250.0,
Pick And Roll,10-Nov-25,Ohi,1200m,4/13,,56.0,2.0,150.0,
Pick And Roll,23-Oct-25,Ohi,1800m,13/14,,56.0,7.0,3.0,
Pick And Roll,07-Oct-25,Ohi,1200m,4/13,,54.0,3.0,120.0,
Pick And Roll,17-Sep-25,Ohi,1200m,7/9,,54.0,0.3,1.0,
Pick And Roll,04-Sep-25,Ohi,1200m,1/12,,54.0,0.5,800.0,
Pick And Roll,14-Aug-25,Ohi,1200m,5/13,,56.0,3.0,80.0,
Pick And Roll,04-Jul-25,Ohi,1200m,4/10,,56.0,1.75,120.0,
Pick And Roll,13-Jun-25,Ohi,1200m,3/13,,54.0,3.0,200.0,
Pick And Roll,21-May-25,Ohi,1200m,3/14,,56.0,1.0,200.0,
Pick And Roll,29-Apr-25,Ohi,1200m,5/14,,56.0,0.2,80.0,
Pick And Roll,15-Apr-25,Ohi,1200m,6/14,,54.0,1.5,1.0,
Pick And Roll,24-Mar-25,Ohi,1200m,3/13,,54.0,1.5,200.0,
Pick And Roll,10-Mar-25,Ohi,1200m,8/16,,54.0,1.75,1.0,
Pick And Roll,19-Feb-25,Ohi,1200m,14/16,,54.0,4.2,1.0,
Pick And Roll,28-Jan-25,Ohi,1600m,13/14,,54.0,3.75,1.0,
Pick And Roll,13-Jan-25,Ohi,1600m,7/12,,54.0,0.95,1.0,
Pick And Roll,11-Dec-24,Mizusawa,1400m,3/10,,56.0,0.0,80.0,
Pick And Roll,04-Dec-24,Mizusawa,1400m,10/10,,54.0,1.5,700.0,
Pick And Roll,25-Nov-24,Mizusawa,1400m,11/12,,56.0,2.25,789.0,
Pick And Roll,10-Nov-24,Morioka,1400m,5/11,,54.0,3.0,32.0,
Pick And Roll,29-Oct-24,Morioka,1400m,5/10,,56.0,5.0,28.0,
Pick And Roll,22-Oct-24,Morioka,1400m,5/9,,54.0,7.0,28.0,
Pick And Roll,15-Oct-24,Morioka,1400m,3/8,,56.0,1.75,80.0,
Pick And Roll,08-Oct-24,Morioka,1400m,9/12,,54.0,6.0,400.0,
Pick And Roll,24-Sep-24,Mizusawa,1400m,5/12,,56.0,1.25,46.0,
