Horse,Category,Starts,1st,2nd,3rd,Win%,Place%,Odds,ROI
Akiyan,Good,17,1,-,1,6%,12%,$3.25,-81%
Akiyan,Soft,6,-,1,-,0%,17%,$0,-100%
Akiyan,Heavy,19,-,1,3,0%,22%,$0,-100%
Akiyan,Turf,42,1,2,4,3%,17%,$3.25,-92%
Akiyan,0 - 1000m,2,-,-,-,0%,0%,$0,-100%
Akiyan,1001 - 1300m,20,1,1,1,5%,15%,$3.25,-84%
Akiyan,1301 - 1500m,13,-,1,2,0%,24%,$0,-100%
Akiyan,1501 - 2000m,7,-,-,1,0%,15%,$0,-100%
Akiyan,1 - 3,12,1,-,1,9%,17%,$3.25,-73%
Akiyan,4 - 6,10,-,1,-,0%,10%,$0,-100%
Akiyan,7 - 10,12,-,1,2,0%,25%,$0,-100%
Akiyan,11 - 13,1,-,-,-,0%,0%,$0,-100%
Akiyan,$75001+,8,-,-,1,0%,13%,$0,-100%
Akiyan,59kg+,42,1,2,4,3%,17%,$3.25,-92%
Akiyan,6 - 7,4,1,-,-,25%,25%,$3.25,-19%
Akiyan,8 - 10,24,-,2,3,0%,21%,$0,-100%
Akiyan,11 - 12,14,-,-,1,0%,8%,$0,-100%
Akiyan,First Up,1,-,-,-,0%,0%,$0,-100%
Akiyan,Second Up,1,-,-,-,0%,0%,$0,-100%
Akiyan,Third Up,1,-,-,-,0%,0%,$0,-100%
Habsburg,Career,26,-,1,2,0%,12%,$0,-100%
Habsburg,12 Mths,20,-,1,1,0%,10%,$0,-100%
Habsburg,Last 10,10,-,-,1,0%,10%,$0,-100%
Habsburg,Good,14,-,1,-,0%,8%,$0,-100%
Habsburg,Soft,2,-,-,1,0%,50%,$0,-100%
Habsburg,Heavy,10,-,-,1,0%,10%,$0,-100%
Habsburg,Turf,26,-,1,2,0%,12%,$0,-100%
Habsburg,1001 - 1300m,5,-,-,-,0%,0%,$0,-100%
Habsburg,1301 - 1500m,9,-,-,1,0%,12%,$0,-100%
Habsburg,1501 - 2000m,12,-,1,1,0%,17%,$0,-100%
Habsburg,1 - 3,5,-,-,-,0%,0%,$0,-100%
Habsburg,4 - 6,9,-,1,2,0%,34%,$0,-100%
Habsburg,7 - 10,7,-,-,-,0%,0%,$0,-100%
Habsburg,11 - 13,2,-,-,-,0%,0%,$0,-100%
Habsburg,14 - 16,1,-,-,-,0%,0%,$0,-100%
Habsburg,59kg+,26,-,1,2,0%,12%,$0,-100%
Habsburg,8 - 10,10,-,1,2,0%,30%,$0,-100%
Habsburg,11 - 12,10,-,-,-,0%,0%,$0,-100%
Habsburg,13 - 15,5,-,-,-,0%,0%,$0,-100%
Habsburg,16+,1,-,-,-,0%,0%,$0,-100%
Habsburg,First Up,3,-,-,-,0%,0%,$0,-100%
Habsburg,Second Up,3,-,-,1,0%,34%,$0,-100%
Habsburg,Third Up,1,-,-,-,0%,0%,$0,-100%
Destiny's Dream,Career,4,-,-,1,0%,25%,$0,-100%
Destiny's Dream,12 Mths,4,-,-,1,0%,25%,$0,-100%
Destiny's Dream,Last 10,4,-,-,1,0%,25%,$0,-100%
Destiny's Dream,Good,3,-,-,1,0%,34%,$0,-100%
Destiny's Dream,Heavy,1,-,-,-,0%,0%,$0,-100%
Destiny's Dream,Turf,4,-,-,1,0%,25%,$0,-100%
Destiny's Dream,0 - 1000m,1,-,-,-,0%,0%,$0,-100%
Destiny's Dream,1001 - 1300m,1,-,-,1,0%,100%,$0,-100%
Destiny's Dream,1301 - 1500m,2,-,-,-,0%,0%,$0,-100%
Destiny's Dream,1 - 3,1,-,-,1,0%,100%,$0,-100%
Destiny's Dream,4 - 6,2,-,-,-,0%,0%,$0,-100%
Destiny's Dream,7 - 10,1,-,-,-,0%,0%,$0,-100%
Destiny's Dream,$75001+,4,-,-,1,0%,25%,$0,-100%
Destiny's Dream,59kg+,4,-,-,1,0%,25%,$0,-100%
Destiny's Dream,8 - 10,1,-,-,-,0%,0%,$0,-100%
Destiny's Dream,11 - 12,3,-,-,1,0%,34%,$0,-100%
Destiny's Dream,First Up,2,-,-,1,0%,50%,$0,-100%
Destiny's Dream,Second Up,1,-,-,-,0%,0%,$0,-100%
Destiny's Dream,Third Up,1,-,-,-,0%,0%,$0,-100%
Erik's Girl,Career,16,-,-,1,0%,7%,$0,-100%
Erik's Girl,12 Mths,14,-,-,1,0%,8%,$0,-100%
Erik's Girl,Last 10,10,-,-,1,0%,10%,$0,-100%
Erik's Girl,Good,13,-,-,1,0%,8%,$0,-100%
Erik's Girl,Soft,3,-,-,-,0%,0%,$0,-100%
Erik's Girl,Turf,16,-,-,1,0%,7%,$0,-100%
Erik's Girl,1001 - 1300m,4,-,-,1,0%,25%,$0,-100%
Erik's Girl,1301 - 1500m,12,-,-,-,0%,0%,$0,-100%
Erik's Girl,1 - 3,3,-,-,-,0%,0%,$0,-100%
Erik's Girl,4 - 6,6,-,-,-,0%,0%,$0,-100%
Erik's Girl,7 - 10,4,-,-,1,0%,25%,$0,-100%
Erik's Girl,11 - 13,2,-,-,-,0%,0%,$0,-100%
Erik's Girl,$35001 - $75000,2,-,-,-,0%,0%,$0,-100%
Erik's Girl,$75001+,14,-,-,1,0%,8%,$0,-100%
Erik's Girl,59kg+,16,-,-,1,0%,7%,$0,-100%
Erik's Girl,6 - 7,1,-,-,-,0%,0%,$0,-100%
Erik's Girl,8 - 10,10,-,-,-,0%,0%,$0,-100%
Erik's Girl,11 - 12,1,-,-,1,0%,100%,$0,-100%
Erik's Girl,13 - 15,3,-,-,-,0%,0%,$0,-100%
Erik's Girl,First Up,2,-,-,-,0%,0%,$0,-100%
Erik's Girl,Second Up,2,-,-,-,0%,0%,$0,-100%
Erik's Girl,Third Up,2,-,-,-,0%,0%,$0,-100%
Global Royalty,Career,7,-,-,-,0%,0%,$0,-100%
Global Royalty,12 Mths,6,-,-,-,0%,0%,$0,-100%
Global Royalty,Last 10,7,-,-,-,0%,0%,$0,-100%
Global Royalty,Good,6,-,-,-,0%,0%,$0,-100%
Global Royalty,Soft,1,-,-,-,0%,0%,$0,-100%
Global Royalty,Turf,7,-,-,-,0%,0%,$0,-100%
Global Royalty,1001 - 1300m,3,-,-,-,0%,0%,$0,-100%
Global Royalty,1301 - 1500m,3,-,-,-,0%,0%,$0,-100%
Global Royalty,1501 - 2000m,1,-,-,-,0%,0%,$0,-100%
Global Royalty,1 - 3,1,-,-,-,0%,0%,$0,-100%
Global Royalty,7 - 10,4,-,-,-,0%,0%,$0,-100%
Global Royalty,14 - 16,1,-,-,-,0%,0%,$0,-100%
Global Royalty,$35001 - $75000,2,-,-,-,0%,0%,$0,-100%
Global Royalty,$75001+,5,-,-,-,0%,0%,$0,-100%
Global Royalty,59kg+,7,-,-,-,0%,0%,$0,-100%
Global Royalty,8 - 10,4,-,-,-,0%,0%,$0,-100%
Global Royalty,13 - 15,1,-,-,-,0%,0%,$0,-100%
Global Royalty,16+,1,-,-,-,0%,0%,$0,-100%
Global Royalty,First Up,2,-,-,-,0%,0%,$0,-100%
Global Royalty,Second Up,1,-,-,-,0%,0%,$0,-100%
Global Royalty,Third Up,1,-,-,-,0%,0%,$0,-100%
Drachenfutter,Career,2,-,-,-,0%,0%,$0,-100%
Drachenfutter,12 Mths,2,-,-,-,0%,0%,$0,-100%
Drachenfutter,Last 10,2,-,-,-,0%,0%,$0,-100%
Drachenfutter,Good,2,-,-,-,0%,0%,$0,-100%
Drachenfutter,Turf,2,-,-,-,0%,0%,$0,-100%
Drachenfutter,1001 - 1300m,2,-,-,-,0%,0%,$0,-100%
Drachenfutter,4 - 6,1,-,-,-,0%,0%,$0,-100%
Drachenfutter,7 - 10,1,-,-,-,0%,0%,$0,-100%
Drachenfutter,$75001+,2,-,-,-,0%,0%,$0,-100%
Drachenfutter,59kg+,2,-,-,-,0%,0%,$0,-100%
Drachenfutter,6 - 7,1,-,-,-,0%,0%,$0,-100%
Drachenfutter,8 - 10,1,-,-,-,0%,0%,$0,-100%
Drachenfutter,First Up,1,-,-,-,0%,0%,$0,-100%
Drachenfutter,Second Up,1,-,-,-,0%,0%,$0,-100%
Hawker Tempest,Career,0,-,-,-,-,-,$0,-
Hawker Tempest,12 Mths,0,-,-,-,-,-,$0,-
Hawker Tempest,Last 10,0,-,-,-,-,-,$0,-
Ruby Whisper,Career,6,-,1,3,0%,67%,$0,-100%
Ruby Whisper,12 Mths,6,-,1,3,0%,67%,$0,-100%
Ruby Whisper,Last 10,6,-,1,3,0%,67%,$0,-100%
Ruby Whisper,Good,4,-,1,2,0%,75%,$0,-100%
Ruby Whisper,Soft,2,-,-,1,0%,50%,$0,-100%
Ruby Whisper,Turf,6,-,1,3,0%,67%,$0,-100%
Ruby Whisper,0 - 1000m,5,-,1,2,0%,60%,$0,-100%
Ruby Whisper,1001 - 1300m,1,-,-,1,0%,100%,$0,-100%
Ruby Whisper,1 - 3,2,-,-,1,0%,50%,$0,-100%
Ruby Whisper,4 - 6,3,-,1,1,0%,67%,$0,-100%
Ruby Whisper,7 - 10,1,-,-,1,0%,100%,$0,-100%
Ruby Whisper,$75001+,6,-,1,3,0%,67%,$0,-100%
Ruby Whisper,59kg+,6,-,1,3,0%,67%,$0,-100%
Ruby Whisper,6 - 7,6,-,1,3,0%,67%,$0,-100%
Ruby Whisper,First Up,1,-,1,-,0%,100%,$0,-100%
Ruby Whisper,Second Up,1,-,-,1,0%,100%,$0,-100%
Ruby Whisper,Third Up,1,-,-,-,0%,0%,$0,-100%
Secret Life,Career,2,-,-,-,0%,0%,$0,-100%
Secret Life,12 Mths,2,-,-,-,0%,0%,$0,-100%
Secret Life,Last 10,2,-,-,-,0%,0%,$0,-100%
Secret Life,Good,2,-,-,-,0%,0%,$0,-100%
Secret Life,Turf,2,-,-,-,0%,0%,$0,-100%
Secret Life,0 - 1000m,1,-,-,-,0%,0%,$0,-100%
Secret Life,1001 - 1300m,1,-,-,-,0%,0%,$0,-100%
Secret Life,1 - 3,1,-,-,-,0%,0%,$0,-100%
Secret Life,4 - 6,1,-,-,-,0%,0%,$0,-100%
Secret Life,$75001+,2,-,-,-,0%,0%,$0,-100%
Secret Life,59kg+,2,-,-,-,0%,0%,$0,-100%
Secret Life,8 - 10,1,-,-,-,0%,0%,$0,-100%
Secret Life,11 - 12,1,-,-,-,0%,0%,$0,-100%
Secret Life,First Up,1,-,-,-,0%,0%,$0,-100%
Secret Life,Second Up,1,-,-,-,0%,0%,$0,-100%
Spring Tide,Career,2,-,-,1,0%,50%,$0,-100%
Spring Tide,12 Mths,2,-,-,1,0%,50%,$0,-100%
Spring Tide,Last 10,2,-,-,1,0%,50%,$0,-100%
Spring Tide,Good,1,-,-,-,0%,0%,$0,-100%
Spring Tide,Soft,1,-,-,1,0%,100%,$0,-100%
Spring Tide,Turf,2,-,-,1,0%,50%,$0,-100%
Spring Tide,0 - 1000m,2,-,-,1,0%,50%,$0,-100%
Spring Tide,1 - 3,1,-,-,1,0%,100%,$0,-100%
Spring Tide,4 - 6,1,-,-,-,0%,0%,$0,-100%
Spring Tide,$75001+,2,-,-,1,0%,50%,$0,-100%
Spring Tide,59kg+,2,-,-,1,0%,50%,$0,-100%
Spring Tide,8 - 10,2,-,-,1,0%,50%,$0,-100%
Spring Tide,First Up,2,-,-,1,0%,50%,$0,-100%
Southampton,Career,8,1,-,-,13%,13%,$13,63%
Southampton,12 Mths,8,1,-,-,13%,13%,$13,63%
Southampton,Last 10,8,1,-,-,13%,13%,$13,63%
Southampton,Good,8,1,-,-,13%,13%,$13,63%
Southampton,Turf,8,1,-,-,13%,13%,$13,63%
Southampton,1001 - 1300m,2,-,-,-,0%,0%,$0,-100%
Southampton,1301 - 1500m,2,-,-,-,0%,0%,$0,-100%
Southampton,1501 - 2000m,4,1,-,-,25%,25%,$13,225%
Southampton,1 - 3,3,1,-,-,34%,34%,$13,333%
Southampton,4 - 6,3,-,-,-,0%,0%,$0,-100%
Southampton,7 - 10,2,-,-,-,0%,0%,$0,-100%
Southampton,$75001+,8,1,-,-,13%,13%,$13,63%
Southampton,59kg+,8,1,-,-,13%,13%,$13,63%
Southampton,8 - 10,4,-,-,-,0%,0%,$0,-100%
Southampton,11 - 12,3,1,-,-,34%,34%,$13,333%
Southampton,13 - 15,1,-,-,-,0%,0%,$0,-100%
Southampton,First Up,1,-,-,-,0%,0%,$0,-100%
Southampton,Second Up,1,-,-,-,0%,0%,$0,-100%
Southampton,Third Up,1,-,-,-,0%,0%,$0,-100%
Michael Faraday,Career,38,3,4,4,8%,29%,$6.67,-47%
Michael Faraday,12 Mths,14,1,2,1,8%,29%,$4.5,-68%
Michael Faraday,Last 10,10,1,2,1,10%,40%,$4.5,-55%
Michael Faraday,Good,30,3,3,3,10%,30%,$6.67,-33%
Michael Faraday,Soft,6,-,-,1,0%,17%,$0,-100%
Michael Faraday,Heavy,1,-,1,-,0%,100%,$0,-100%
Michael Faraday,Turf,37,3,4,4,9%,30%,$6.67,-46%
Michael Faraday,0 - 1000m,2,1,-,-,50%,50%,$7,250%
Michael Faraday,1001 - 1300m,13,-,2,1,0%,24%,$0,-100%
Michael Faraday,1301 - 1500m,14,1,1,2,8%,29%,$8.5,-39%
Michael Faraday,1501 - 2000m,8,1,1,1,13%,38%,$4.5,-44%
Michael Faraday,1 - 3,10,2,1,-,20%,30%,$6.5,30%
Michael Faraday,4 - 6,9,1,2,2,12%,56%,$7,-22%
Michael Faraday,7 - 10,11,-,1,2,0%,28%,$0,-100%
Michael Faraday,11 - 13,6,-,-,-,0%,0%,$0,-100%
Michael Faraday,$35001 - $75000,9,1,2,2,12%,56%,$7,-22%
Michael Faraday,$75001+,28,2,2,2,8%,22%,$6.5,-54%
Michael Faraday,59kg+,37,3,4,4,9%,30%,$6.67,-46%
Michael Faraday,6 - 7,2,-,-,-,0%,0%,$0,-100%
Michael Faraday,8 - 10,14,2,1,2,15%,36%,$5.75,-18%
Michael Faraday,11 - 12,8,1,-,1,13%,25%,$8.5,6%
Michael Faraday,13 - 15,11,-,1,1,0%,19%,$0,-100%
Michael Faraday,16+,3,-,2,-,0%,67%,$0,-100%
Michael Faraday,First Up,6,1,1,-,17%,34%,$7,17%
Michael Faraday,Second Up,6,-,-,1,0%,17%,$0,-100%
Michael Faraday,Third Up,4,1,-,-,25%,25%,$4.5,13%
Palace Guard,Career,5,1,-,-,20%,20%,$7.5,50%
Palace Guard,12 Mths,2,1,-,-,50%,50%,$7.5,275%
Palace Guard,Last 10,5,1,-,-,20%,20%,$7.5,50%
Palace Guard,Good,5,1,-,-,20%,20%,$7.5,50%
Palace Guard,Turf,5,1,-,-,20%,20%,$7.5,50%
Palace Guard,1301 - 1500m,2,-,-,-,0%,0%,$0,-100%
Palace Guard,1501 - 2000m,2,1,-,-,50%,50%,$7.5,275%
Palace Guard,2001 - 2400m,1,-,-,-,0%,0%,$0,-100%
Palace Guard,1 - 3,2,1,-,-,50%,50%,$7.5,275%
Palace Guard,4 - 6,1,-,-,-,0%,0%,$0,-100%
Palace Guard,7 - 10,1,-,-,-,0%,0%,$0,-100%
Palace Guard,14 - 16,1,-,-,-,0%,0%,$0,-100%
Palace Guard,$75001+,5,1,-,-,20%,20%,$7.5,50%
Palace Guard,59kg+,5,1,-,-,20%,20%,$7.5,50%
Palace Guard,8 - 10,1,1,-,-,100%,100%,$7.5,650%
Palace Guard,11 - 12,3,-,-,-,0%,0%,$0,-100%
Palace Guard,13 - 15,1,-,-,-,0%,0%,$0,-100%
Palace Guard,First Up,3,1,-,-,34%,34%,$7.5,150%
Palace Guard,Second Up,2,-,-,-,0%,0%,$0,-100%
Last Ginger,Career,31,3,2,3,10%,26%,$18.83,82%
Last Ginger,12 Mths,10,-,1,-,0%,10%,$0,-100%
Last Ginger,Last 10,10,-,1,-,0%,10%,$0,-100%
Last Ginger,Good,25,2,2,2,8%,24%,$16.75,34%
Last Ginger,Soft,5,1,-,1,20%,40%,$23,360%
Last Ginger,Turf,30,3,2,3,10%,27%,$18.83,88%
Last Ginger,Cushion,1,-,-,-,0%,0%,$0,-100%
Last Ginger,0 - 1000m,1,-,-,-,0%,0%,$0,-100%
Last Ginger,1301 - 1500m,10,1,1,1,10%,30%,$26,160%
Last Ginger,1501 - 2000m,18,1,1,2,6%,23%,$7.5,-58%
Last Ginger,2001 - 2400m,2,1,-,-,50%,50%,$23,1050%
Last Ginger,1 - 3,5,-,1,1,0%,40%,$0,-100%
Last Ginger,4 - 6,9,3,-,-,34%,34%,$18.83,528%
Last Ginger,7 - 10,9,-,-,2,0%,23%,$0,-100%
Last Ginger,11 - 13,2,-,1,-,0%,50%,$0,-100%
Last Ginger,14 - 16,2,-,-,-,0%,0%,$0,-100%
Last Ginger,$35001 - $75000,8,-,-,1,0%,13%,$0,-100%
Last Ginger,$75001+,23,3,2,2,14%,31%,$18.83,146%
Last Ginger,59kg+,31,3,2,3,10%,26%,$18.83,82%
Last Ginger,6 - 7,2,-,-,1,0%,50%,$0,-100%
Last Ginger,8 - 10,17,1,1,1,6%,18%,$7.5,-56%
Last Ginger,11 - 12,7,2,1,-,29%,43%,$24.5,600%
Last Ginger,13 - 15,4,-,-,1,0%,25%,$0,-100%
Last Ginger,16+,1,-,-,-,0%,0%,$0,-100%
Last Ginger,First Up,3,-,1,-,0%,34%,$0,-100%
Last Ginger,Second Up,3,-,-,1,0%,34%,$0,-100%
Last Ginger,Third Up,2,1,-,-,50%,50%,$26,1200%
Bay Empire,Career,19,-,3,2,0%,27%,$0,-100%
Bay Empire,12 Mths,15,-,1,2,0%,20%,$0,-100%
Bay Empire,Last 10,10,-,1,1,0%,20%,$0,-100%
Bay Empire,Good,18,-,3,2,0%,28%,$0,-100%
Bay Empire,Soft,1,-,-,-,0%,0%,$0,-100%
Bay Empire,Turf,19,-,3,2,0%,27%,$0,-100%
Bay Empire,1001 - 1300m,4,-,1,-,0%,25%,$0,-100%
Bay Empire,1301 - 1500m,12,-,1,2,0%,25%,$0,-100%
Bay Empire,1501 - 2000m,3,-,1,-,0%,34%,$0,-100%
Bay Empire,1 - 3,6,-,2,1,0%,50%,$0,-100%
Bay Empire,4 - 6,6,-,-,1,0%,17%,$0,-100%
Bay Empire,7 - 10,2,-,1,-,0%,50%,$0,-100%
Bay Empire,11 - 13,2,-,-,-,0%,0%,$0,-100%
Bay Empire,14 - 16,2,-,-,-,0%,0%,$0,-100%
Bay Empire,$35001 - $75000,1,-,-,-,0%,0%,$0,-100%
Bay Empire,$75001+,18,-,3,2,0%,28%,$0,-100%
Bay Empire,59kg+,19,-,3,2,0%,27%,$0,-100%
Bay Empire,1 - 5,1,-,-,-,0%,0%,$0,-100%
Bay Empire,6 - 7,2,-,1,-,0%,50%,$0,-100%
Bay Empire,8 - 10,5,-,1,-,0%,20%,$0,-100%
Bay Empire,11 - 12,4,-,1,-,0%,25%,$0,-100%
Bay Empire,13 - 15,3,-,-,2,0%,67%,$0,-100%
Bay Empire,16+,3,-,-,-,0%,0%,$0,-100%
Bay Empire,First Up,3,-,1,-,0%,34%,$0,-100%
Bay Empire,Second Up,2,-,1,-,0%,50%,$0,-100%
Bay Empire,Third Up,2,-,-,-,0%,0%,$0,-100%
Libeccio,Career,4,2,-,-,50%,50%,$4.42,121%
Libeccio,12 Mths,4,2,-,-,50%,50%,$4.42,121%
Libeccio,Last 10,4,2,-,-,50%,50%,$4.42,121%
Libeccio,Good,3,2,-,-,67%,67%,$4.42,194%
Libeccio,Turf,3,2,-,-,67%,67%,$4.42,194%
Libeccio,1501 - 2000m,4,2,-,-,50%,50%,$4.42,121%
Libeccio,1 - 3,2,1,-,-,50%,50%,$4.33,117%
Libeccio,4 - 6,1,-,-,-,0%,0%,$0,-100%
Libeccio,7 - 10,1,1,-,-,100%,100%,$4.5,350%
Libeccio,59kg+,4,2,-,-,50%,50%,$4.42,121%
Libeccio,8 - 10,1,-,-,-,0%,0%,$0,-100%
Libeccio,13 - 15,2,1,-,-,50%,50%,$4.33,117%
Libeccio,16+,1,1,-,-,100%,100%,$4.5,350%
Libeccio,First Up,2,1,-,-,50%,50%,$4.33,117%
Libeccio,Second Up,1,1,-,-,100%,100%,$4.5,350%
Libeccio,Third Up,1,-,-,-,0%,0%,$0,-100%
Sail The Sky,Career,45,5,3,5,12%,29%,$5.95,-34%
Sail The Sky,12 Mths,20,2,-,2,10%,20%,$3.63,-64%
Sail The Sky,Last 10,10,-,-,1,0%,10%,$0,-100%
Sail The Sky,Good,39,4,3,5,11%,31%,$6.56,-33%
Sail The Sky,Soft,4,1,-,-,25%,25%,$3.5,-12%
Sail The Sky,Heavy,1,-,-,-,0%,0%,$0,-100%
Sail The Sky,Turf,44,5,3,5,12%,30%,$5.95,-32%
Sail The Sky,Cushion,1,-,-,-,0%,0%,$0,-100%
Sail The Sky,1001 - 1300m,14,2,1,2,15%,36%,$8.25,18%
Sail The Sky,1301 - 1500m,24,3,2,2,13%,30%,$4.42,-45%
Sail The Sky,1501 - 2000m,7,-,-,1,0%,15%,$0,-100%
Sail The Sky,1 - 3,12,2,-,2,17%,34%,$6,-
Sail The Sky,4 - 6,9,2,1,2,23%,56%,$5.88,31%
Sail The Sky,7 - 10,10,-,2,-,0%,20%,$0,-100%
Sail The Sky,11 - 13,3,-,-,1,0%,34%,$0,-100%
Sail The Sky,14 - 16,1,-,-,-,0%,0%,$0,-100%
Sail The Sky,$35001 - $75000,10,1,-,-,10%,10%,$6,-40%
Sail The Sky,$75001+,35,4,3,5,12%,35%,$5.94,-32%
Sail The Sky,59kg+,45,5,3,5,12%,29%,$5.95,-34%
Sail The Sky,1 - 5,1,1,-,-,100%,100%,$6,500%
Sail The Sky,6 - 7,4,-,1,1,0%,50%,$0,-100%
Sail The Sky,8 - 10,19,2,2,2,11%,32%,$6,-37%
Sail The Sky,11 - 12,7,-,-,2,0%,29%,$0,-100%
Sail The Sky,13 - 15,12,2,-,-,17%,17%,$5.88,-2%
Sail The Sky,16+,1,-,-,-,0%,0%,$0,-100%
Sail The Sky,First Up,3,-,-,-,0%,0%,$0,-100%
Sail The Sky,Second Up,2,-,-,-,0%,0%,$0,-100%
Sail The Sky,Third Up,2,1,-,-,50%,50%,$8,300%
Kotinos,Career,4,-,1,-,0%,25%,$0,-100%
Kotinos,12 Mths,4,-,1,-,0%,25%,$0,-100%
Kotinos,Last 10,4,-,1,-,0%,25%,$0,-100%
Kotinos,Good,2,-,1,-,0%,50%,$0,-100%
Kotinos,Turf,2,-,1,-,0%,50%,$0,-100%
Kotinos,1501 - 2000m,1,-,-,-,0%,0%,$0,-100%
Kotinos,2001 - 2400m,3,-,1,-,0%,34%,$0,-100%
Kotinos,1 - 3,2,-,1,-,0%,50%,$0,-100%
Kotinos,4 - 6,1,-,-,-,0%,0%,$0,-100%
Kotinos,11 - 13,1,-,-,-,0%,0%,$0,-100%
Kotinos,59kg+,4,-,1,-,0%,25%,$0,-100%
Kotinos,11 - 12,1,-,-,-,0%,0%,$0,-100%
Kotinos,13 - 15,1,-,1,-,0%,100%,$0,-100%
Kotinos,16+,2,-,-,-,0%,0%,$0,-100%
Kotinos,First Up,2,-,1,-,0%,50%,$0,-100%
Kotinos,Second Up,2,-,-,-,0%,0%,$0,-100%
Can't Catch Me,Career,10,1,3,-,10%,40%,$3.1,-69%
Can't Catch Me,12 Mths,8,1,3,-,13%,50%,$3.1,-61%
Can't Catch Me,Last 10,10,1,3,-,10%,40%,$3.1,-69%
Can't Catch Me,Good,10,1,3,-,10%,40%,$3.1,-69%
Can't Catch Me,Turf,10,1,3,-,10%,40%,$3.1,-69%
Can't Catch Me,0 - 1000m,2,-,-,-,0%,0%,$0,-100%
Can't Catch Me,1001 - 1300m,5,1,2,-,20%,60%,$3.1,-38%
Can't Catch Me,1301 - 1500m,3,-,1,-,0%,34%,$0,-100%
Can't Catch Me,1 - 3,5,1,2,-,20%,60%,$3.1,-38%
Can't Catch Me,4 - 6,1,-,-,-,0%,0%,$0,-100%
Can't Catch Me,7 - 10,1,-,-,-,0%,0%,$0,-100%
Can't Catch Me,11 - 13,3,-,1,-,0%,34%,$0,-100%
Can't Catch Me,$20001 - $35000,10,1,3,-,10%,40%,$3.1,-69%
Can't Catch Me,55 - 56.5kg,7,1,1,-,15%,29%,$3.1,-56%
Can't Catch Me,57 - 58.5kg,2,-,1,-,0%,50%,$0,-100%
Can't Catch Me,59kg+,1,-,1,-,0%,100%,$0,-100%
Can't Catch Me,8 - 10,2,1,-,-,50%,50%,$3.1,55%
Can't Catch Me,11 - 12,6,-,2,-,0%,34%,$0,-100%
Can't Catch Me,13 - 15,1,-,1,-,0%,100%,$0,-100%
Can't Catch Me,16+,1,-,-,-,0%,0%,$0,-100%
Can't Catch Me,First Up,2,-,1,-,0%,50%,$0,-100%
Can't Catch Me,Second Up,2,-,-,-,0%,0%,$0,-100%
Can't Catch Me,Third Up,2,-,1,-,0%,50%,$0,-100%
King Bluetooth,Career,20,1,-,-,5%,5%,$23,15%
King Bluetooth,12 Mths,17,1,-,-,6%,6%,$23,35%
King Bluetooth,Last 10,10,-,-,-,0%,0%,$0,-100%
King Bluetooth,Good,16,1,-,-,7%,7%,$23,44%
King Bluetooth,Soft,4,-,-,-,0%,0%,$0,-100%
King Bluetooth,Turf,20,1,-,-,5%,5%,$23,15%
King Bluetooth,0 - 1000m,3,-,-,-,0%,0%,$0,-100%
King Bluetooth,1001 - 1300m,4,1,-,-,25%,25%,$23,475%
King Bluetooth,1301 - 1500m,10,-,-,-,0%,0%,$0,-100%
King Bluetooth,1501 - 2000m,3,-,-,-,0%,0%,$0,-100%
King Bluetooth,1 - 3,4,-,-,-,0%,0%,$0,-100%
King Bluetooth,4 - 6,7,-,-,-,0%,0%,$0,-100%
King Bluetooth,7 - 10,7,1,-,-,15%,15%,$23,229%
King Bluetooth,11 - 13,2,-,-,-,0%,0%,$0,-100%
King Bluetooth,$75001+,20,1,-,-,5%,5%,$23,15%
King Bluetooth,59kg+,20,1,-,-,5%,5%,$23,15%
King Bluetooth,6 - 7,4,1,-,-,25%,25%,$23,475%
King Bluetooth,8 - 10,10,-,-,-,0%,0%,$0,-100%
King Bluetooth,11 - 12,4,-,-,-,0%,0%,$0,-100%
King Bluetooth,13 - 15,2,-,-,-,0%,0%,$0,-100%
King Bluetooth,First Up,2,-,-,-,0%,0%,$0,-100%
King Bluetooth,Second Up,2,-,-,-,0%,0%,$0,-100%
King Bluetooth,Third Up,2,-,-,-,0%,0%,$0,-100%
Miss Kassiopi,Career,16,1,4,2,7%,44%,$3.5,-78%
Miss Kassiopi,12 Mths,8,1,2,1,13%,50%,$3.5,-56%
Miss Kassiopi,Last 10,10,1,3,1,10%,50%,$3.5,-65%
Miss Kassiopi,Good,8,1,1,1,13%,38%,$3.5,-56%
Miss Kassiopi,Soft,7,-,3,1,0%,58%,$0,-100%
Miss Kassiopi,Heavy,1,-,-,-,0%,0%,$0,-100%
Miss Kassiopi,Turf,16,1,4,2,7%,44%,$3.5,-78%
Miss Kassiopi,2401m+,16,1,4,2,7%,44%,$3.5,-78%
Miss Kassiopi,$0 - $5000,3,-,-,-,0%,0%,$0,-100%
Miss Kassiopi,$5001 - $10000,12,1,4,2,9%,59%,$3.5,-71%
Miss Kassiopi,$10001 - $20000,1,-,-,-,0%,0%,$0,-100%
Miss Kassiopi,59kg+,16,1,4,2,7%,44%,$3.5,-78%
Miss Kassiopi,6 - 7,3,-,1,-,0%,34%,$0,-100%
Miss Kassiopi,8 - 10,9,1,2,1,12%,45%,$3.5,-61%
Miss Kassiopi,11 - 12,2,-,-,1,0%,50%,$0,-100%
Miss Kassiopi,13 - 15,2,-,1,-,0%,50%,$0,-100%
Miss Kassiopi,First Up,5,-,1,-,0%,20%,$0,-100%
Miss Kassiopi,Second Up,5,1,1,-,20%,40%,$3.5,-30%
